Month,City,State,Sales,Marketing_Spend,Customer_Count,Product_Category,Email
2022-04-01,Lucknow,Uttar Pradesh,37978,4918,286,Clothing,zaina.sidhu@renusharmafoundation.org
2023-01-01,Ahmedabad,Gujarat,46896,5843,223,Clothing,gatik.sanghvi@renusharmafoundation.org
2024-08-01,Bhopal,Madhya Pradesh,49366,6791,133,Clothing,adira.grewal@yahoo.com
2024-12-01,Jaipur,Rajasthan,44690,4628,269,Electronics,zoya.johal@gmail.com
2022-06-01,Bengaluru,Karnataka,32230,2371,386,Clothing,renee.bedi@gmail.com
2021-01-01,Hyderabad,Telangana,62324,7320,386,Electronics,hridaan.chander@gmail.com
2021-12-01,Ahmedabad,Gujarat,28004,2365,349,Electronics,anvi.bhardwaj@gmail.com
2023-02-01,Lucknow,Uttar Pradesh,71185,9715,184,Books,darshit.johal@renusharmafoundation.org
2023-04-01,Bengaluru,Karnataka,60356,7541,410,Clothing,ela.kari@yahoo.com
2022-08-01,Hyderabad,Telangana,29781,1741,124,Books,anaya.hayre@gmail.com
2021-04-01,Delhi,Delhi,36308,5037,160,Electronics,tarini.khosla@yahoo.com
2023-05-01,Delhi,Delhi,59253,3992,478,Grocery,aarav.deshmukh@yahoo.com
2023-08-01,Ahmedabad,Gujarat,54304,5235,178,Home Decor,bhamini.karpe@yahoo.com
2023-03-01,Ahmedabad,Gujarat,59996,7877,399,Clothing,onkar.ramachandran@gmail.com
2024-02-01,Kolkata,West Bengal,54631,5915,370,Home Decor,inaaya .ramakrishnan@gmail.com
2024-03-01,Chennai,Tamil Nadu,48352,4783,129,Home Decor,mishti.biswas@gmail.com
2024-06-01,Ahmedabad,Gujarat,29376,2269,427,Home Decor,kanav.mahal@yahoo.com
2024-12-01,Delhi,Delhi,55488,5953,121,Electronics,anay.dugar@yahoo.com
2024-05-01,Chennai,Tamil Nadu,39691,2444,393,Clothing,shaan.datta@yahoo.com
2024-11-01,Bengaluru,Karnataka,70779,4185,160,Electronics,aarav.talwar@yahoo.com
2022-10-01,Bengaluru,Karnataka,62967,5832,81,Electronics,lagan.majumdar@gmail.com
2021-02-01,Hyderabad,Telangana,40131,2267,190,Books,reyansh.maharaj@gmail.com
2023-01-01,Bengaluru,Karnataka,40099,2461,352,Electronics,vivaan.kapadia@renusharmafoundation.org
2023-07-01,Ahmedabad,Gujarat,37885,4536,79,Clothing,zeeshan.balay@renusharmafoundation.org
2023-10-01,Chennai,Tamil Nadu,55687,5659,247,Grocery,nayantara.zacharia@gmail.com
2023-02-01,Bhopal,Madhya Pradesh,42558,3497,168,Home Decor,yasmin.de@gmail.com
2023-12-01,Jaipur,Rajasthan,25969,2609,237,Home Decor,parinaaz.joshi@renusharmafoundation.org
2024-07-01,Ahmedabad,Gujarat,53172,4442,256,Grocery,jayesh.kumer@renusharmafoundation.org
2023-02-01,Hyderabad,Telangana,48313,6251,61,Home Decor,purab.suri@gmail.com
2021-09-01,Lucknow,Uttar Pradesh,52463,5169,316,Clothing,umang.shukla@yahoo.com
2023-12-01,Ahmedabad,Gujarat,39206,2322,296,Clothing,umang.krishnan@gmail.com
2022-07-01,Bhopal,Madhya Pradesh,34995,4045,140,Electronics,dhanuk.jayaraman@renusharmafoundation.org
2023-09-01,Kolkata,West Bengal,59211,4398,436,Clothing,divyansh.sarma@yahoo.com
2021-11-01,Lucknow,Uttar Pradesh,29799,2610,456,Electronics,ritvik.sekhon@gmail.com
2023-11-01,Mumbai,Maharashtra,62450,6343,318,Clothing,prerak.chaudhuri@renusharmafoundation.org
2022-01-01,Chennai,Tamil Nadu,46380,3050,285,Home Decor,vanya.tank@yahoo.com
2024-07-01,Delhi,Delhi,47427,5814,386,Clothing,romil.dey@yahoo.com
2022-04-01,Bhopal,Madhya Pradesh,75685,4979,231,Electronics,akarsh.chakrabarti@gmail.com
2021-06-01,Mumbai,Maharashtra,52161,7789,498,Home Decor,divit.ranganathan@yahoo.com
2022-12-01,Lucknow,Uttar Pradesh,37738,5098,374,Grocery,aaryahi.ravel@yahoo.com
2022-01-01,Delhi,Delhi,30520,3983,392,Clothing,vivaan.hans@renusharmafoundation.org
2021-10-01,Bengaluru,Karnataka,62190,7678,340,Grocery,neysa.bumb@renusharmafoundation.org
2024-08-01,Lucknow,Uttar Pradesh,56193,7321,228,Electronics,taran.trivedi@renusharmafoundation.org
2022-04-01,Delhi,Delhi,41129,2383,318,Grocery,nishith.chopra@renusharmafoundation.org
2021-08-01,Chennai,Tamil Nadu,47102,6472,74,Books,mishti.din@yahoo.com
2021-12-01,Bengaluru,Karnataka,28911,3821,304,Electronics,sumer.jha@gmail.com
2022-07-01,Ahmedabad,Gujarat,33604,2630,118,Home Decor,indrans.mand@renusharmafoundation.org
2024-11-01,Lucknow,Uttar Pradesh,66760,9600,170,Electronics,amani.subramanian@gmail.com
2024-11-01,Ahmedabad,Gujarat,71020,6248,186,Books,saanvi.singhal@renusharmafoundation.org
2023-09-01,Delhi,Delhi,10112,973,339,Home Decor,mahika.raj@gmail.com
2022-05-01,Chennai,Tamil Nadu,60936,6613,135,Books,madhav.wason@gmail.com
2024-06-01,Bhopal,Madhya Pradesh,45697,4086,185,Clothing,ishaan.sura@gmail.com
2023-04-01,Lucknow,Uttar Pradesh,43046,6403,50,Clothing,khushi.dhingra@renusharmafoundation.org
2024-07-01,Lucknow,Uttar Pradesh,55005,4181,85,Electronics,divyansh.sethi@renusharmafoundation.org
2022-06-01,Ahmedabad,Gujarat,53483,4340,56,Books,saanvi.batra@renusharmafoundation.org
2024-09-01,Mumbai,Maharashtra,52500,3258,255,Home Decor,dhanush.ganesh@yahoo.com
2023-08-01,Hyderabad,Telangana,61795,8926,57,Grocery,tejas.mander@renusharmafoundation.org
2024-07-01,Lucknow,Uttar Pradesh,33098,2344,412,Books,arnav.bali@yahoo.com
2021-01-01,Mumbai,Maharashtra,43412,4947,129,Clothing,aaina.doctor@renusharmafoundation.org
2024-09-01,Delhi,Delhi,36009,5337,300,Grocery,vihaan.bahri@yahoo.com
2022-08-01,Mumbai,Maharashtra,83851,9003,165,Grocery,kismat.barad@yahoo.com
2023-12-01,Bengaluru,Karnataka,69470,6658,178,Home Decor,ritvik.acharya@yahoo.com
2023-05-01,Delhi,Delhi,47708,3348,382,Books,krish.singh@yahoo.com
2024-12-01,Delhi,Delhi,57440,7038,226,Clothing,raghav.bhalla@gmail.com
2021-01-01,Mumbai,Maharashtra,37916,2302,421,Clothing,jayan.gandhi@yahoo.com
2022-08-01,Bhopal,Madhya Pradesh,79154,11442,124,Books,anvi.cheema@renusharmafoundation.org
2024-11-01,Jaipur,Rajasthan,37800,5004,72,Home Decor,shlok.bhatia@renusharmafoundation.org
2023-03-01,Lucknow,Uttar Pradesh,62321,5322,218,Grocery,mishti.balasubramanian@yahoo.com
2021-07-01,Lucknow,Uttar Pradesh,22636,2881,464,Clothing,oorja.bumb@renusharmafoundation.org
2023-01-01,Jaipur,Rajasthan,46788,6072,106,Home Decor,yuvraj .halder@yahoo.com
2023-09-01,Chennai,Tamil Nadu,60800,7974,355,Clothing,adira.bobal@renusharmafoundation.org
2024-05-01,Mumbai,Maharashtra,32403,4146,407,Home Decor,saanvi.bhatia@yahoo.com
2021-10-01,Delhi,Delhi,55896,3336,350,Home Decor,mehul.anand@yahoo.com
2023-01-01,Ahmedabad,Gujarat,55084,7072,296,Electronics,tanya.chanda@yahoo.com
2024-07-01,Lucknow,Uttar Pradesh,65457,3981,271,Electronics,ojas.kamdar@gmail.com
2022-04-01,Ahmedabad,Gujarat,42182,3177,293,Clothing,lavanya.sekhon@gmail.com
2024-06-01,Jaipur,Rajasthan,39387,4321,468,Books,azad.ahuja@gmail.com
2021-05-01,Chennai,Tamil Nadu,16649,1695,395,Grocery,samaira.bhattacharyya@gmail.com
2022-04-01,Jaipur,Rajasthan,45316,3293,479,Grocery,yashvi.swaminathan@yahoo.com
2021-11-01,Chennai,Tamil Nadu,25076,2489,387,Clothing,hrishita.balakrishnan@renusharmafoundation.org
2024-01-01,Chennai,Tamil Nadu,52891,6499,326,Electronics,sara.sankar@gmail.com
2021-02-01,Jaipur,Rajasthan,42216,3096,473,Grocery,ishita.sharma@gmail.com
2022-09-01,Lucknow,Uttar Pradesh,45865,5705,368,Books,yuvraj .agrawal@renusharmafoundation.org
2022-08-01,Hyderabad,Telangana,54134,3763,174,Books,hunar.jaggi@renusharmafoundation.org
2022-03-01,Kolkata,West Bengal,64114,9560,224,Grocery,indrajit.karnik@renusharmafoundation.org
2024-01-01,Bengaluru,Karnataka,49486,7137,362,Home Decor,aarna.sastry@gmail.com
2021-09-01,Jaipur,Rajasthan,61310,6066,162,Clothing,vardaniya.varughese@gmail.com
2022-12-01,Delhi,Delhi,47606,5162,179,Books,anaya.bali@gmail.com
2023-01-01,Bengaluru,Karnataka,48228,7160,430,Home Decor,samarth.badami@yahoo.com
2024-10-01,Kolkata,West Bengal,45984,4314,274,Grocery,ehsaan.sarma@yahoo.com
2024-07-01,Kolkata,West Bengal,65255,7918,109,Electronics,vardaniya.sawhney@yahoo.com
2024-02-01,Chennai,Tamil Nadu,25514,1955,222,Electronics,jayan.agarwal@renusharmafoundation.org
2023-07-01,Mumbai,Maharashtra,69290,8437,278,Home Decor,neysa.aggarwal@renusharmafoundation.org
2024-03-01,Bhopal,Madhya Pradesh,78438,11691,432,Books,umang.sundaram@gmail.com
2023-09-01,Bengaluru,Karnataka,53692,4252,434,Books,elakshi.bains@gmail.com
2021-03-01,Chennai,Tamil Nadu,38868,5119,374,Home Decor,anvi.kant@renusharmafoundation.org
2022-10-01,Bengaluru,Karnataka,38829,3579,401,Books,saanvi.dubey@gmail.com
2023-03-01,Jaipur,Rajasthan,39581,5787,214,Books,lagan.sinha@gmail.com
2022-08-01,Bhopal,Madhya Pradesh,50459,6480,185,Clothing,ojas.chawla@renusharmafoundation.org
2024-08-01,Chennai,Tamil Nadu,40346,4908,329,Grocery,myra.barman@gmail.com
2023-06-01,Mumbai,Maharashtra,35531,4634,131,Electronics,ehsaan.loke@renusharmafoundation.org
2023-09-01,Delhi,Delhi,43630,3256,448,Clothing,zara.shan@renusharmafoundation.org
2022-12-01,Jaipur,Rajasthan,49121,3133,313,Clothing,jivika.bhat@renusharmafoundation.org
2021-09-01,Ahmedabad,Gujarat,16978,1800,410,Grocery,azad.vasa@yahoo.com
2021-06-01,Jaipur,Rajasthan,38009,5683,252,Books,jiya.kara@yahoo.com
2022-01-01,Bhopal,Madhya Pradesh,50057,6127,143,Home Decor,veer.karnik@renusharmafoundation.org
2021-06-01,Jaipur,Rajasthan,72800,3717,432,Clothing,ojas.baral@renusharmafoundation.org
2024-07-01,Lucknow,Uttar Pradesh,16167,2321,118,Clothing,yasmin.din@gmail.com
2024-12-01,Hyderabad,Telangana,26888,2991,85,Home Decor,indrajit.deshmukh@yahoo.com
2023-10-01,Ahmedabad,Gujarat,11258,1307,473,Home Decor,vedika.bobal@yahoo.com
2021-10-01,Bhopal,Madhya Pradesh,28639,3679,409,Home Decor,arnav.deshmukh@yahoo.com
2021-06-01,Chennai,Tamil Nadu,43199,5361,151,Electronics,onkar.ganesan@renusharmafoundation.org
2024-01-01,Hyderabad,Telangana,35531,4738,301,Clothing,diya.brahmbhatt@yahoo.com
2024-10-01,Delhi,Delhi,37603,2435,211,Clothing,vidur.shere@gmail.com
2022-11-01,Chennai,Tamil Nadu,67053,4252,106,Home Decor,charvi.krish@yahoo.com
2022-06-01,Kolkata,West Bengal,37275,4192,400,Clothing,pari.sem@renusharmafoundation.org
2021-02-01,Lucknow,Uttar Pradesh,59650,6489,312,Grocery,mannat.raval@gmail.com
2024-10-01,Ahmedabad,Gujarat,66724,7068,194,Clothing,reyansh.badami@gmail.com
2024-10-01,Chennai,Tamil Nadu,42346,2669,402,Grocery,charvi.yohannan@yahoo.com
2024-10-01,Lucknow,Uttar Pradesh,66900,3678,248,Electronics,aarav.rajan@gmail.com
2023-09-01,Bengaluru,Karnataka,63137,3695,208,Grocery,ishita.ravi@renusharmafoundation.org
2021-06-01,Hyderabad,Telangana,55741,7334,495,Books,mahika.brahmbhatt@renusharmafoundation.org
2022-03-01,Lucknow,Uttar Pradesh,56159,4148,122,Home Decor,hiran.shroff@yahoo.com
2021-08-01,Chennai,Tamil Nadu,30732,2158,417,Clothing,kanav.tara@gmail.com
2022-07-01,Ahmedabad,Gujarat,34082,3834,152,Books,eshani.malhotra@gmail.com
2022-02-01,Bengaluru,Karnataka,44008,2924,65,Home Decor,manjari.choudhary@gmail.com
2021-09-01,Mumbai,Maharashtra,36308,3504,235,Grocery,heer.ravel@yahoo.com
2023-04-01,Mumbai,Maharashtra,29250,3240,341,Books,navya.bassi@yahoo.com
2024-11-01,Lucknow,Uttar Pradesh,75110,9519,403,Home Decor,baiju.kannan@yahoo.com
2024-10-01,Lucknow,Uttar Pradesh,50779,5988,266,Electronics,zoya.dalal@yahoo.com
2021-02-01,Kolkata,West Bengal,74893,5495,72,Electronics,jivin.dora@yahoo.com
2022-02-01,Bengaluru,Karnataka,24820,1835,162,Home Decor,zain.chana@renusharmafoundation.org
2024-01-01,Lucknow,Uttar Pradesh,56039,3933,289,Home Decor,dhanush.ganesan@gmail.com
2021-12-01,Kolkata,West Bengal,64209,7018,91,Electronics,damini.kaur@renusharmafoundation.org
2021-07-01,Kolkata,West Bengal,50158,6019,382,Grocery,myra.chandra@gmail.com
2023-09-01,Chennai,Tamil Nadu,57153,4576,93,Electronics,shalv.dani@renusharmafoundation.org
2023-05-01,Kolkata,West Bengal,49260,5644,448,Books,riya.chad@yahoo.com
2024-01-01,Mumbai,Maharashtra,61718,5852,430,Books,ritvik.bhandari@renusharmafoundation.org
2022-02-01,Kolkata,West Bengal,44439,3590,84,Clothing,aaryahi.mammen@gmail.com
2021-11-01,Ahmedabad,Gujarat,55562,4895,248,Clothing,charvi.venkatesh@yahoo.com
2024-12-01,Bhopal,Madhya Pradesh,35180,5173,69,Grocery,riaan.handa@yahoo.com
2021-03-01,Hyderabad,Telangana,36539,3328,459,Electronics,kismat.ben@yahoo.com
2024-01-01,Delhi,Delhi,49649,3155,182,Electronics,emir.mallick@yahoo.com
2024-07-01,Bhopal,Madhya Pradesh,64957,9139,305,Clothing,shlok.hans@yahoo.com
2023-06-01,Ahmedabad,Gujarat,43905,5665,432,Electronics,devansh.char@renusharmafoundation.org
2022-09-01,Lucknow,Uttar Pradesh,49765,5254,150,Electronics,indrajit.anne@gmail.com
2024-10-01,Bhopal,Madhya Pradesh,52855,3230,366,Home Decor,miraan.sharaf@gmail.com
2022-06-01,Lucknow,Uttar Pradesh,33739,2388,269,Electronics,mehul.ravel@renusharmafoundation.org
2024-07-01,Kolkata,West Bengal,61577,4078,58,Grocery,prisha.chand@renusharmafoundation.org
2024-04-01,Lucknow,Uttar Pradesh,33538,4308,337,Home Decor,anay.gill@yahoo.com
2024-09-01,Mumbai,Maharashtra,48916,7008,341,Electronics,bhamini.sengupta@yahoo.com
2024-12-01,Kolkata,West Bengal,48528,5982,63,Electronics,arnav.chauhan@yahoo.com
2024-07-01,Bengaluru,Karnataka,69917,6887,296,Clothing,tiya.sarin@yahoo.com
2021-03-01,Bhopal,Madhya Pradesh,45210,6311,211,Electronics,sara.sankar@gmail.com
2021-06-01,Bengaluru,Karnataka,43665,4657,363,Grocery,azad.jhaveri@yahoo.com
2021-05-01,Bengaluru,Karnataka,53772,3458,67,Books,mohanlal.goyal@renusharmafoundation.org
2024-10-01,Mumbai,Maharashtra,34662,3223,66,Grocery,shanaya.viswanathan@yahoo.com
2024-04-01,Bengaluru,Karnataka,54722,3686,388,Grocery,mehul.varughese@renusharmafoundation.org
2024-06-01,Chennai,Tamil Nadu,54295,5327,347,Electronics,ehsaan.chaudhary@yahoo.com
2022-04-01,Hyderabad,Telangana,62788,7085,394,Grocery,madhav.contractor@gmail.com
2022-05-01,Jaipur,Rajasthan,49745,5874,347,Grocery,bhamini.sawhney@renusharmafoundation.org
2021-10-01,Bhopal,Madhya Pradesh,52129,2808,349,Clothing,romil.ganesh@renusharmafoundation.org
2024-05-01,Lucknow,Uttar Pradesh,37435,3834,213,Home Decor,baiju.anne@gmail.com
2023-04-01,Hyderabad,Telangana,73539,10326,69,Home Decor,vardaniya.dayal@gmail.com
2022-07-01,Delhi,Delhi,62304,7392,101,Books,zaina.choudhury@yahoo.com
2023-01-01,Kolkata,West Bengal,52345,7002,178,Clothing,chirag.chandran@renusharmafoundation.org
2022-10-01,Bengaluru,Karnataka,32242,3222,106,Books,vritika.hari@yahoo.com
2021-09-01,Bhopal,Madhya Pradesh,53358,6913,89,Electronics,ishaan.gill@renusharmafoundation.org
2022-03-01,Chennai,Tamil Nadu,75224,10334,110,Clothing,faiyaz.sampath@yahoo.com
2021-05-01,Bengaluru,Karnataka,43278,6206,149,Electronics,ranbir.goda@gmail.com
2021-10-01,Ahmedabad,Gujarat,53124,5269,492,Home Decor,kaira.ravel@renusharmafoundation.org
2022-11-01,Chennai,Tamil Nadu,39658,3889,260,Electronics,zeeshan.bobal@yahoo.com
2024-05-01,Delhi,Delhi,37039,2395,426,Clothing,neelofar.sule@yahoo.com
2023-04-01,Lucknow,Uttar Pradesh,50172,4782,280,Books,shray.kota@gmail.com
2024-06-01,Ahmedabad,Gujarat,46749,4266,450,Clothing,navya.sandhu@yahoo.com
2022-01-01,Ahmedabad,Gujarat,57084,5861,403,Books,advik.golla@gmail.com
2023-02-01,Bengaluru,Karnataka,62985,5786,99,Grocery,adira.deol@gmail.com
2021-02-01,Bengaluru,Karnataka,51466,4789,253,Books,myra.sampath@gmail.com
2021-11-01,Jaipur,Rajasthan,66194,4140,118,Books,yasmin.tak@renusharmafoundation.org
2024-06-01,Ahmedabad,Gujarat,56807,5567,251,Electronics,manikya.bobal@yahoo.com
2022-03-01,Hyderabad,Telangana,30451,4355,282,Grocery,ayesha.datta@renusharmafoundation.org
2021-04-01,Mumbai,Maharashtra,48891,4081,131,Grocery,miraya.kashyap@renusharmafoundation.org
2023-04-01,Ahmedabad,Gujarat,59122,5167,117,Grocery,mishti.swaminathan@yahoo.com
2022-07-01,Delhi,Delhi,56339,4209,484,Home Decor,jayan.sharaf@renusharmafoundation.org
2021-01-01,Hyderabad,Telangana,56497,3063,273,Home Decor,bhavin.magar@renusharmafoundation.org
2022-01-01,Chennai,Tamil Nadu,57820,6852,112,Home Decor,nitara.kurian@yahoo.com
2022-06-01,Lucknow,Uttar Pradesh,37189,3535,388,Grocery,divyansh.goel@gmail.com
2022-10-01,Lucknow,Uttar Pradesh,65516,9589,227,Grocery,anya.gera@gmail.com
2024-10-01,Kolkata,West Bengal,31054,3183,459,Clothing,jivin.dash@gmail.com
2022-10-01,Bengaluru,Karnataka,70837,6480,325,Grocery,jayesh.rege@renusharmafoundation.org
2023-04-01,Mumbai,Maharashtra,58744,6138,333,Clothing,krish.madan@gmail.com
2022-03-01,Lucknow,Uttar Pradesh,43940,2721,265,Electronics,nakul.devan@renusharmafoundation.org
2024-06-01,Ahmedabad,Gujarat,38576,3654,373,Grocery,aayush.vaidya@renusharmafoundation.org
2021-12-01,Lucknow,Uttar Pradesh,82008,7044,365,Grocery,indrans.gera@renusharmafoundation.org
2022-05-01,Delhi,Delhi,26441,1613,278,Grocery,shayak.sachdev@gmail.com
2021-02-01,Mumbai,Maharashtra,84046,5248,146,Home Decor,elakshi.de@renusharmafoundation.org
2024-06-01,Hyderabad,Telangana,45986,3412,447,Electronics,ahana .doctor@renusharmafoundation.org
2024-06-01,Jaipur,Rajasthan,66166,8930,499,Home Decor,ela.vig@yahoo.com
2024-06-01,Kolkata,West Bengal,72774,10383,101,Books,kiara.kaur@gmail.com
2024-03-01,Chennai,Tamil Nadu,29986,3431,312,Electronics,vaibhav.manne@yahoo.com
2024-08-01,Mumbai,Maharashtra,30261,4386,392,Books,reyansh.samra@gmail.com
2024-01-01,Mumbai,Maharashtra,83890,12430,462,Clothing,amira.reddy@renusharmafoundation.org
2024-05-01,Jaipur,Rajasthan,46121,4731,100,Home Decor,anika.lal@renusharmafoundation.org
2022-09-01,Bengaluru,Karnataka,50764,3157,368,Books,vardaniya.kalita@gmail.com
2023-02-01,Chennai,Tamil Nadu,60154,5333,447,Books,elakshi.sethi@renusharmafoundation.org
2024-02-01,Lucknow,Uttar Pradesh,43844,2254,94,Electronics,samaira.bajaj@gmail.com
2021-09-01,Ahmedabad,Gujarat,24860,3690,441,Grocery,anya.khalsa@yahoo.com
2024-11-01,Lucknow,Uttar Pradesh,26744,2944,290,Home Decor,manjari.bassi@yahoo.com
2022-07-01,Delhi,Delhi,61599,3823,128,Grocery,anya.uppal@gmail.com
2024-12-01,Chennai,Tamil Nadu,25149,3331,327,Electronics,gatik.lad@yahoo.com
2023-11-01,Hyderabad,Telangana,49777,6431,347,Grocery,akarsh.korpal@gmail.com
2021-02-01,Chennai,Tamil Nadu,30805,3034,123,Home Decor,inaaya .jaggi@renusharmafoundation.org
2023-11-01,Mumbai,Maharashtra,68167,9391,74,Clothing,indrajit.ben@renusharmafoundation.org
2021-05-01,Delhi,Delhi,48390,7077,294,Books,neysa.karpe@renusharmafoundation.org
2023-01-01,Hyderabad,Telangana,44751,3461,153,Grocery,dhruv.khurana@yahoo.com
2022-06-01,Bengaluru,Karnataka,32291,4363,71,Electronics,samar.mani@gmail.com
2024-12-01,Mumbai,Maharashtra,58649,4414,195,Clothing,nehmat.gokhale@renusharmafoundation.org
2023-05-01,Hyderabad,Telangana,86187,7169,298,Books,kiara.kakar@renusharmafoundation.org
2023-10-01,Delhi,Delhi,61571,7133,134,Books,ivana.raman@renusharmafoundation.org
2024-03-01,Mumbai,Maharashtra,63591,8861,156,Electronics,pranay.banerjee@gmail.com
2022-04-01,Lucknow,Uttar Pradesh,54049,3723,160,Grocery,nirvi.samra@renusharmafoundation.org
2021-09-01,Lucknow,Uttar Pradesh,57406,5089,444,Electronics,eshani.kara@gmail.com
2022-03-01,Kolkata,West Bengal,51119,7091,175,Clothing,lavanya.bahri@renusharmafoundation.org
2024-07-01,Jaipur,Rajasthan,39984,2897,165,Books,kaira.majumdar@yahoo.com
2024-10-01,Chennai,Tamil Nadu,34551,4499,326,Books,mohanlal.ray@gmail.com
2022-01-01,Jaipur,Rajasthan,26828,2331,157,Home Decor,nitara.savant@yahoo.com
2021-10-01,Ahmedabad,Gujarat,38514,3088,180,Home Decor,advika.sami@gmail.com
2023-11-01,Hyderabad,Telangana,28074,2369,420,Clothing,kabir.sibal@gmail.com
2021-05-01,Kolkata,West Bengal,36692,3602,302,Grocery,ayesha.kari@gmail.com
